title,label
Aktion „Wärme von der Sonne“ hat begonnen,0
"16 Vorher-nachher-Bilder, die zeigen, wie sich Städte verändern",1
43. Münchener Sicherheitskonferenz zu Ende gegangen,0
Afghanisches Kabinett fällt erneut durch,0
38 Parteien zur Bundestagswahl 2013 zugelassen,0
16 Gedenkstätten: Amanda Stronza erweist Tieren letzte Ehre,1
Bahrain: Aufstände werden mit Gewalt niedergeschlagen,0
Abmahnung für Hotel Reservation Service durch Bundeskartellamt,0
"19 gruselige Halloween Ideen – Rezepte, Schminke und Deko",1
"16 Fotos für Menschen, die schon alles gesehen haben",1
Afghanistan forderte Bundeswehrsoldaten für den Süden an,0
AfD-Vize Alexander Gauland fühlt sich missverstanden,0
"9 Wege, um der Sommerhitze Herr zu werden! ",1
"17 Frisuren, die so (hoffentlich) nicht geplant waren",1
Chefredakteur der Schweizer Sonntagszeitung schreckt deutsche Medien auf,0
Bayrischer Innenminister will Internetkriminalität stärker bekämpfen,0
"16 Vorher-nachher-Bilder von Katzen, die adoptiert wurden",1
Koch-Fails: 15 Köche lassen Gerichte auf Facebook bewerten,1
ATTAC: Kritik an DGB-Gewerkschaften,0
"Schmackhafter Auflauf mit Brötchen, Hähnchenbrust und Bacon",1
Altes Ehepaar erhält sich in seiner Beziehung die ewige Liebe,1
Bayern und Nordrhein-Westfalen setzen Rechtschreibreform aus,0
Land in Sicht mit gefüllten Zucchini-Schiffchen - auch für Seekranke.,1
"15 Signale der Natur, die Unheil ankündigen",1
Mit Speisestärke und Spitze wird ein Fenster Blickdicht.,1
"Werbungskosten: 12 Beispiele, die Steuern sparen",1
Quiz: Erkennst du 15 Tiere in Nahaufnahmen?,1
300 Flüchtinge vor Jemen ertrunken,0
Vloggerin mit Gesichtstumor wird zum YouTube-Star.,1
Abdoulaye Wade will Patrouillenboote von Spanien,0
Attentat auf russischen Botschafter in Ankara birgt noch Rätsel,0
"14 Fotos, die Fragen aufwerfen",1
Chemieunternehmen Dow Chemical will 1.000 Stellen streichen,0
Arzneimittelreport 2005 - Drei Milliarden Euro könnten gespart werden,0
Bundesverwaltungsgericht hat Elbvertiefung gestoppt,0
Barack Obama will auf staatliche Zuschüsse für seinen Wahlkampf verzichten,0
Ab 2013 Rechtsanspruch auf Krippenplatz,0
Frau in Toronto gibt leidenden Schweinen in einem Lastwagen Wasser aus ihrer Flasche.,1
Börse: Facebook-Aktie auf Rekordtief,0
Video: Dreiste Frau macht Polizisten das Leben schwer,1
"Nutze Alltagsgegenstände, um Kamerafilter herzustellen! ",1
Ehepaar erlebt tolle Tierfreundschaft von Krähe und Katze.,1
Bayern fordert höhere Zuschüsse für den Transrapid ein,0
Wundervolle Fotos vom Wolf-Husky-Mischling Loki.,1
"Bundesregierung plant die nächste Rentenreform: Zuschussrente, Kombirente und Pflichtversicherung für Selbständige",0
"5 Anzeichen, an denen du Bettwanzen erkennen kannst",1
Kleidung von kleinem Jungen erregt Ärgernis - Mutter nimmt Stellung!,1
Airbus: Aus für A400M?,0
Ein adoptierter Junge singt ein dramatisches Lied für seine Mutter.,1
Abkratzprämie für S21-Aufkleber,0
Chinesischer Autohersteller BYD will die Konkurrenz mit Elektroautos das Fürchten lehren,0
Arbeiter im rumänischen Dacia-Werk begehren auf,0
Ariane 5 mit zwei Satelliten ins All gestartet,0
"13 verrückte Dinge, die man auf dem Flohmarkt findet",1
Betrugsskandal: Gentechnisch manipulierte Baumwolle als Bio-Produkt verkauft,0
Ausschreitungen bei Demonstration gegen Bildungsplan der grün-roten Landesregierung,0
Apples „iPhone“ und die Reaktionen: Zwischen Enthusiasmus und nüchterner Kritik,0
"6. Mai 2012: Wahltag in Schleswig-Holstein, Frankreich und Griechenland",0
"Tiere, die nichts so sehr lieben wie ihren Menschen",1
Berlin: Die S2 soll bis nach Rangsdorf verlängert werden,0
"14 Kinder, die ihre Eltern in den Wahnsinn treiben",1
5 nützliche Zitronen Hacks für den Haushalt,1
Atommülllager Asse hat gravierende Mängel – Anti-Atom-Treck auf dem Weg nach Berlin,0
"15 praktische Designs von Produkten, die das Leben leichter machen",1
"16 Fotos, die einen sofort aufmuntern",1
Aserbaidschan: UNO-Hubschrauber abgestürzt,0
"So bringt man einem Kind respektvoll bei, einen nicht zu unterbrechen.",1
Heldentat: Cameron Martin rettet Pferd im Graben,1
20 außergewöhnliche Beispiele für modernes Design,1
"15 Bilder, die ihre eigenen Geschichten erzählen",1
"20 witzige Tricks, die dir das Leben im Alltag erleichtern können",1
Ausbau erneuerbarer Energien in den USA verstärkt sich,0
"Apple fährt Rekordgewinn ein: 3,4 Milliarden US-Dollar im letzten Quartal",0
Geschichte der Kosmetik: Beauty-Produkte vor 100 Jahren,1
Bezahlsender Premiere fährt Rekordverlust ein,0
Bangkok: Demonstranten fordern vom König die Einsetzung einer Interimsregierung,0
15 Bilder zeigen Beziehung zwischen Mensch und Tier,1
"Der perfekte Lachs vom Grill, der garantiert nicht festklebt.",1
Amtsantritt des kirgisischen Präsidenten Bakijew,0
Angst vor Sex auch für Vatikan ein Grund eine Ehe zu beenden,0
66. Jahrestag der Befreiung des Konzentrationslagers Auschwitz-Birkenau,0
Trivialwissen: 15 unnütze aber interessante Fakten,1
Baltikum: Jagdgeschwader „Richthofen“ sichert den Luftraum,0
Brandenburgs Wirtschaftsminister Ulrich Junghanns bei Tesla Motors,0
Airbus A380 ist nicht das größte Flugzeug der Welt,0
Belgien: Atomreaktoren bleiben bis 2025 in Betrieb,0
20 witzige Halloween-Kostüme für Schwangere und Pärchen ,1
"12 ungewöhnliche Dinge, die zweigeteilt wurden",1
Appell König Alberts II. an Wallonen und Flamen,0
11-mal geschnitztes Obst und Gemüse für Halloween,1
90 Jahre Republik Österreich,0
"Spottdrossel mit verkrüppelten Füßen läuft dank ""Schneeschuhen"" wieder.",1
Ohne viel Abwasch! 3 köstliche One Pot Rezepte,1
BBC-Reportage: Hat die Opposition auf dem Maidan vor einem Jahr zuerst geschossen?,0
Chinesische Regierung verbietet Fluggesellschaften Beteiligung am Emissionshandel in der EU,0
Al-Qaida übernimmt Verantwortung für Hubschrauber-Abschuss,0
Bonn: Westerwelle sprach zur Eröffnung eines Luxushotels,0
Berliner Grüne wollen ein 15-Euro-Monatsticket für alle,0
Aktionen gegen Rechts in Magdeburg,0
Air Berlin plant den Börsengang,0
Brockhaus bald gratis im Internet abrufbar,0
Amnesty: Hamas tötete „Kollaborateure“ im Gazastreifen,0
Bilder einer wundervollen Tierfreundschaft.,1
Abriss des Wasserkraftwerks Rheinfelden umstritten,0
Bundesarbeitsministerin warnt vor der Gefahr von Altersarmut,0
Kek Lapis: Rezept für Sarawak Schichtkuchen,1
"16 Fotos, die die bedingungslose Treue von Hunden zeigen",1
17 herzhafte und süße Ideen für Snacks | Fingerfood ,1
Schmackhafte Hackfleischbällchen mit Bavette in Tomatensoße,1
"7 brillante Tricks mit Luftballons, die jeder kennen sollte",1
Ein bezauberndes Mädchen ohne Arme lässt sich nicht unterkriegen.,1
Zu verschenken: Alte Möbel am Straßenrand suchen neuen Besitzer,1
8.000 Studierende und Lehrer demonstrieren in Dresden für bessere Bildungspolitik,0
Aiman az-Zawahiri kritisiert Afghanistan-Wahlen und lobt London-Attentate,0
Nach Tod seiner Frau: Mann verwandelt Schiffscontainer in Eigenheim. ,1
Antisemitismus-Streit Broder gegen Hecht-Galinski in 2. Instanz,0
So weich gebettet: Teigtaschen – mit Lachs und Spinat gefüllt.,1
Tierschützer atmen auf: Riesenpanda erholt sich wieder.,1
Mädchen wird im sechsten Monat auf die Welt geholt und überlebt.,1
"Geniale Tricks, um das perfekte Instagram-Bild zu knipsen",1
"Ahmadinedschad kündigt an, Brennstäbe zu produzieren",0
"16 Bilder: Menschen, die schlimmes Pech hatten",1
In diesem japanischen Bordell gibt es nur Sexpuppen.,1
Abu Musab al-Zarqawi ist tot,0
Die wohl beeindruckendste Zunge der Welt.,1
"9 Hacks, die in der Küche Gold wert sind",1
Brauereikonzern Anheuser-Busch InBev expandiert weiter,0
Anastacia in Concert,0
16 Vorher-nachher-Bilder von adoptierten Hunden,1
Achte Nacht in Pariser Vorstädten bringt weitere Randale,0
BGH-Urteil: Redaktionelle Links unterliegen der Pressefreiheit,0
Anti-Folter-Komitee des Europarates kritisiert Haftbedingungen in Deutschland,0
Aserbaidschan plant den höchsten Wolkenkratzer der Welt,0
Afghanistan: Auch zivile Opfer bei Militäroffensive in der Provinz Helmand,0
Berührendes Video über eine wahre Mann-Hund-Freundschaft.,1
14 witzige Geschwister-Bilder,1
BASF ist zuversichtlich für 2005,0
Berliner Verkehrsbetriebe stellen neue Tram vor,0
Witziges Video: Rentnerin legt Freudentanz auf Parkplatz hin.,1
Angela Merkel leitete den Wahlkampf in Rheinland-Pfalz ein,0
Maria Plenkina lässt eigene 3-jährige Tochter verhungern,1
Apple steigt nach Testerlaubnis in das Rennen um Roboterautos ein,0
Allgemeine Rauchmelderpflicht – SPD ergreift die Initiative,0
Berlin: Zehntausende demonstrierten gegen Verlängerung von AKW-Laufzeiten in Deutschland,0
"16 ungeahnte Dinge, für die man Fusselroller benutzen kann.",1
Buchholz: Betriebsstoff für Biogas-Anlage direkt vom Maisfeld,0
AfD zieht gegen Regierung Merkel vor das Bundesverfassungsgericht,0
Engländerin erlebt bei angeblicher Fehlgeburt ein Wunder.,1
Köstlicher Auflauf: mit würzigem Hackfleisch gefüllte Aubergine auf Kartoffeln,1
Warnung: 14-jähriges Mädchen stirbt durch Handy,1
Arbeitslosenzahlen Dezember 2005,0
150 Stadtwerke fordern Atomausstieg,0
Bundesregierung warnt vor Reisen nach Tunesien,0
"16 Bilder von Menschen, die Pech haben",1
16 Zeichnungen übers Muttersein von Jade Nordahl,1
Aus Baumstamm wird Weinregal - so leicht geht's.,1
Boeing will Reichweite eines 777-Modells vergrößern,0
Beginn der Elektroauto-Ära beeinflusst Bauingenieure,0
Apple stellt neue iPod-Modelle vor,0
Traurig: Welpe mit Fliege aus Bogotá wartete auf Herrchen ,1
Bundesinnenminister Friedrich will Geldkürzungen gegen Asylbewerber vom Balkan verhängen,0
Afghanistan: NATO übernimmt Kommando im Süden,0
"16 Bilder eines Schäferhunds, der immer klein bleiben wird",1
Eine Katze erweist sich in den Schweizer Alpen als Bergretter.,1
"Mutter verkleidet Baby, während es schläft und macht es zum Internet-Star. ",1
Ab heute biometrischer Reisepass,0
Ausgesetzte Hundemutter mit 6 Welpen  wird von Kette befreit,1
Kein Eis: Fruchtig-süße Spaghetti-Torte führt doppelt hinters Licht.,1
3D - Hype oder Flop ?,0
Schrecklich misshandelter Hund wird von Tierschützern gerettet.,1
"15 Bilder, die deine Augen herausfordern",1
"10 Fehler, die du auf deiner Irland-Reise vermeiden solltest",1
Al-Qaida bekennt sich zu Terroranschlägen in Algerien,0
"15 Entdeckungen, die Leute in ihren Häusern gemacht haben",1
Manche Tätowierungen gibt es wirklich schon oft genug,1
"12 verlorene Dinge, die auf verrückte Weise wiedergefunden wurden",1
Vorbild-Vater findet große Überraschung auf Windschutzscheibe. ,1
16 Vorher-Nachher-Bilder von Tieren im Tierheim und nach ihrer Adoption.,1
Lustige Briefe von Lehrern und Erziehern an die Eltern,1
"Richtig heizen: 7 Heizungs-Irrtümer, die für Ärger sorgen",1
"10 ungewöhnliche Wege, wie Eiswürfel verwendet werden können.",1
Aus Beton und zwei Schüsseln wird eine schicke Feuerschale.,1
Bayerische Landesbank übernimmt Kontrolle über Formel-1-Holding,0
Banken bleiben bei niedrigen Zinsen,0
Bahnlinie Lhasa–Xigazê eröffnet,0
"Frau hat 4 lebende Bienen im Auge, ohne es zu merken",1
Witz des Tages: Bauers Schwiegermutter stirbt,1
80 Tote bei Luftangriff auf Koranschule,0
AVD und ADAC lehnten Vorschläge von Wolfgang Tiefensee ab,0
73. Parteitag: Die CSU zeigt sich für die kommenden Landtagswahlen selbstbewusst,0
10 Haushaltstricks aus Omas Zeiten,1
Beckstein: CSU will Landtagswahl „aus eigener Kraft“ gewinnen – ohne Hilfe der CDU,0
"15 nachhaltige Erfindungen, die die Umwelt schützen",1
Atomreaktor Doel 1 in Belgien schaltet sich nach Problemen wieder automatisch ab,0
Albanien in der Krise,0
"Als der Junge die nackte Frau im Auto sieht, macht er große Augen.",1
"Amtsgericht Kaiserslautern bestraft Pfarrer, weil er Flüchtling Kirchenasyl gewährte",0
2008: Einführung von städtischen Umweltzonen in Deutschland,0
23 Tote durch Brand in einer Textilfabrik Bangladeschs,0
Witz des Tages: Zuspätkommen von Frau lässt Männer erröten,1
"Kalte Sandwichtorte mit Lachs, Rote-Bete- und Eiersalat",1
"Nachdem alle das Haus aufgegeben haben, erwacht es zu neuem Leben.",1
Barack Obama offiziell bestätigt,0
Bruderliebe: Kleiner Junge würde für seine Zwillingsschwester sterben.,1
AOL verkauft Internetzugangsgeschäft,0
Amnesty international: Bundesregierung war über CIA-Flüge informiert,0
Autonomiestatus der nordostspanischen Provinz Katalonien gestärkt,0
Bundesregierung: Erhebliche Zunahme von psychischen Erkrankungen durch Belastungen am Arbeitsplatz,0
Anschlag auf Buskonvoi in Syrien international geächtet,0
" 15 Mütter, die das Stillen in der Öffentlichkeit verteidigen",1
Alibaba Aktien für 68 US-Dollar ausgegeben,0
Altbundeskanzler Gerhard Schröder in Peking von Wen Jiabao empfangen,0
Berlusconi will Kontrolle über ProSiebenSat.1,0
Ariel Scharon ringt mit dem Tod,0
Bei den Großmolkereien Müller-Milch und Ehrmann gab es Blockaden durch Milchbauern,0
A1-Ausbau wird privat finanziert,0
Dionne-Fünflinge wurden wie Tiere ausgestellt,1
Obstkuchen mit Biskuitteig und weißer Schokocreme,1
"Die überraschendsten Statuen, die in Europa Schauspielern gewidmet wurden",1
China startet weiteren Navigationssatelliten ins All,0
ATTAC: Streit um Unterstützung des Lokführerstreiks,0
Alexa und Siri – soll nun auch der Staat mithören?,0
Unerträglich! Rentner-Ehepaar muss nach 62 Jahren getrennt leben.,1
Auch das Bundesverfassungsgericht untersagte Heß-Kundgebung in Wunsiedel,0
Buhlen um Großauftrag der Qantas Airways,0
Auseinandersetzung um Spitzensportler Mesut Özil verschärft sich,0
Baden-Württemberg: Neuer Tarifvertrag zur Krisenbewältigung zwischen IG Metall und Arbeitgeberverband Südwestmetall,0
Bundesweiter 42-stündiger Streik im Güterverkehr ab Donnerstag,0
Atomkatastrophe nach schwerem Störfall nur knapp verhindert,0
Am 1. Januar 2007 steigt die Mehrwertsteuer in Deutschland auf 19 Prozent,0
Baubeginn für Terminal des Flughafens Berlin-Schönefeld am 11. Juli,0
10 überraschende Fakten über die Deutschen,1
"5,4 Millionen Arbeitslose im März?",0
Wow! Arzt wendet Baby im Bauch der Mutter mit bloßen Händen.,1
15 lustige Zitate aus dem Leben mit Kindern,1
Blickst du durch? Optische Illusionen | Optische Täuschungen,1
Börsenspekulation um den Solarkonzern Q-Cells,0
Auf der CeBIT wurde eine elektronische Reiseführer-Alternative vorgestellt,0
Airbus zu Schadensersatz wegen Rassendiskriminierung verurteilt,0
Stillende Mutter bespritzt Frau im Park mit Muttermilch,1
Anonymer Anrufer zwingt Passagiermaschine der Olympic Airlines zur Umkehr,0
Yogurette in XXL-Format | Mit Joghurtcreme und Erdbeeren,1
"Hier sind gleich 12 Gründe, warum du mehr Schokolade essen solltest.",1
Börsen-Bilanz von Facebook: 50 Milliarden Dollar Minus,0
Wie eine Blume! Gefüllte Auberginen mit Hackfleisch,1
Indischem Jungen wächst toter Zwilling aus dem Bauch.,1
"15 Designs, die sowohl praktisch als auch dekorativ sind",1
"Ärzte geben die 12-Jährige schon auf, als ihre Tanten eine Idee haben.",1
Atari will 20 Prozent der Angestellten entlassen,0
Arbeitslosenzahlen Januar 2006,0
16 Bilder: Mann kommentiert Outfits seiner Freundin,1
Witz des Tages: LKW-Fahrer blamiert Anwalt und Buchhalter auf dem Klo.,1
"20 Instagram-Fakes, über die man nur lachen kann",1
Dein Föhn kann mehr als Haare trocknen. Diese 13 Tricks zeigen es dir.,1
Video: Fahrer parkt Feuerwehreinfahrt zu und bekommt Lehre erteilt. ,1
Vater von Kind mit Down-Syndrom kämpft für mehr Sichtbarkeit,1
Ausnahmezustand in Osttimor erklärt – Lage beruhigt sich langsam,0
Diese Vorteile haben Zimmerpflanzen.,1
"15 Katzen, die nicht von dieser Welt zu sein scheinen",1
Berliner Verkehrsbetrieben droht großer Streik im März 2008,0
Al-Qaida ruft Muslime zu weiteren Protesten gegen Mohammed-Film auf,0
BP beginnt Tiefseebohrungen im Mittelmeer,0
"KiBa Kuchen | mit Frischkäsecreme, Keksboden und Gelee",1
10 originelle Ideen für ein Instagram Video | Video Hacks,1
Befreiungsaktion für BAWAG-Elsner,0
17 Narben Tattoos und Muttermale als Kunstwerke,1
6 Styling Tipps: Kleine Frauen,1
Aus einem alten Tisch wird ein kompletter Sandkasten.,1
17 optische Täuschungen,1
28 Tote bei Schießereien im Gazastreifen,0
"7 geniale Tricks, die dir das Leben leichter machen. Nr. 2 ist mein Favorit.",1
3 Ideen für selbstgemachte Blumentöpfe mit Sukkulenten,1
Ein meterlanger Gazestreifen wird aus einem Spinnenbiss herausgezogen.,1
Fluffiger Kürbiskuchen | Kürbiskuchen Rezept mit Hokkaido,1
"12 Leute erzählen, wie sie von Fremden gerettet wurden",1
Arlbergbahn wiedereröffnet,0
Bahnstreik: Bei der BVG in Berlin gab es mehr Fahrgäste,0
Amtsinhaber Thomas Horn gewinnt Bürgermeisterwahl in Kelkheim,0
Barack Obama wird nächster Präsident der Vereinigten Staaten,0
Auch Honduras wird von einer Hungerkrise heimgesucht,0
"15 Toiletten, auf die man nicht gehen möchte",1
Vater macht aus winzigem Zimmer Spielpalast für 4-jährigen Sohn.,1
Der 82-Jährige hat seinen Traumjob und rührt sie zu Tränen.,1
Auswärtiges Amt mahnt zur Vorsicht in Thailand,0
Mit Hackfleisch gefüllte Ofenkartoffeln verzaubern den Gaumen. Köstlich!,1
Quiz: Kennst du die wirklichen Namen dieser Promis?,1
Bahnbetrieb im Streckenabschnitt Bad Homburg–Friedrichsdorf wegen Gleisbauarbeiten eingleisig – Taunusbahn fuhr nicht,0
"17 Urlaubsgäste, die auf vierbeinige Gastgeber trafen",1
Barack Obama hat die Vorwahlen in Guam gewonnen,0
AOK-Kampagne „Gesunde Kinder – gesunde Zukunft“ startet 2007,0
Angriff auf die Pressefreiheit,0
Ariel Scharon wird in eine Pflegeklinik verlegt,0
Amoklauf an Schule in Ansbach,0
Funnel Cake mit Kokoscreme und Beeren | Schmalzgebäck,1
"15 geheime Orte, an denen man Habseligkeiten verstecken kann",1
Lustiges Video: Kater will sein Gemüse nicht fressen. ,1
Bayern: Zahnärzte drohen mit vorübergehender Einschränkung der Versorgung von Kassenpatienten,0
"16 lustige Situationen: Katzen, die verrückte Sachen machen",1
Adidas kauft Reebok,0
Boeing 777-200LR erhält Beförderungserlaubnis für Passagiere,0
Angela Merkel erhielt „Visions for Europe Award 2006“,0
"So erfährst du, was deinen Pflanzen wirklich fehlt.",1
Belgien reichte Klage gegen Swissair-Chefs ein,0
Baubeginn für den Flughafen Berlin Schönefeld noch in 2006,0
Australien plant Glühbirnenverbot,0
Baubeginn für das höchste Gebäude der Welt,0
Baden-Württemberg fordert europaweiten Atomausstieg,0
65 Stunden Musik – längstes Konzert der Welt hat begonnen,0
"Adoptierte Tiere, die sich auf ihr neues Zuhause freuen",1
"6-jähriges Mädchen wegen neuer Brille traurig, Fremde trösten",1
Auch ohne Aschewolke: Eurostar meldet Umsatzsteigerung,0
Ausschreitungen bei Anti-NPD-Demos in Hamburg und Nürnberg,0
Für die nächste Inselparty: tropische Ananasburger mit Bacon.,1
Armeniens Premierminister Markarjan an Herzinfarkt gestorben,0
Brauerei Anheuser-Busch InBev will jede zehnte Stelle in Europa streichen,0
Asien: Mindestens 120 Tote durch Hitzewelle,0
15 festliche Masken für ganz besondere Anlässe,1
Bergsportausrüstung wächst auf Maisfeld: Die Ingeo-Faser,0
Buchhändler findet 15 Jahre alten Abschiedsbrief von Mutter an Tochter. ,1
16 Bilder: Thailändisches Paar hat eifersüchtige Katze,1
"20 Verkleidungskünstler, die Halloween ganz neu erfinden",1
China: Milchkonzern Sanlu insolvent,0
Unheimliches Bild: Familie fotografiert Gestalt im Flammenmeer.,1
Bremer Bauamt will keine energiesparenden Häuser,0
"Fleisch, Wurst und Fisch richtig auftauen",1
Anschlag der ETA in der nordspanischen Kleinstadt Calahorra – acht Menschen leicht verletzt,0
China beschließt neue Standards für Plastiktüten,0
DIY aus Holzpaletten: 16 Einrichtungsideen für die Wohnung,1
"13 verrückte Zufälle, die nur einmal im Leben vorkommen",1
Auch ein vierter Tag im Prozess gegen Bo Xilai notwendig,0
Bangladesch: Regierung erhöht Löhne in der Textilindustrie,0
25 Jahre IPCC – eine Arbeit im Auftrag der Vereinten Nationen,0
"10 Verbote, die es an ausländischen Schulen gibt",1
Börsenhype bei erneuerbaren Energien,0
Brüssel: EU-Außenminister einigen sich auf harte Sanktionen gegen den Iran,0
Ein wahrer Held! Polizist kümmert sich rührend um obdachlosen Veteran.,1
Barack Obama zum 44. Präsidenten der Vereinigten Staaten vereidigt,0
12 simple Holz DIY Möbel zum Selberbauen,1
Auch in Deutschland werden Autos in Brand gesetzt,0
Syrischer Mann gibt Frau im Pfandhaus Geld für ihren Ring und gibt ihn ihr sofort zurück.,1
Gefülltes Brot mit Rindersteak und Babyspinat,1
15 lustige Vorher-nachher-Bilder von Eltern,1
Bodensee Geschäftsklimaindex BGKI.net: Konjunktur im Bodenseeraum wird im ersten Quartal 2008 schwächer wachsen,0
"42 Fotos, die von Tieren ruiniert wurden.",1
Börsenbarometer DAX auf höchstem Stand seit Bestehen,0
Afghanistan: Bundeswehrsoldat wurde Opfer eines Selbstmordanschlags,0
Bernd Pischetsrieder räumte den VW-Chefsessel,0
"Angeklagte zahlen 5,8 Millionen Euro – Mannesmann-Prozess eingestellt",0
Bildergalerie: 23 originelle und kreative Hochzeitstorten,1
7 Tipps für immer schöne Pflanzen | Fruchtfliegen bekämpfen,1
Angela Merkel fordert mehr benzinsparende Autos,0
Amanda Oleander zeigt Beziehungsalltag mit Illustrationen,1
Arbeitsbesuch des luxemburgischen Außenministers in Deutschland,0
Boykott gegen HRS in Bremerhaven,0
Bayern: Kernkraftwerk Isar I wegen undichtem Brennelement abgeschaltet,0
Atemberaubende Videoaufnahme: Orca spielt mit Kajakfahrer im Meer. ,1
Bahnübergang in Ilmenau für drei Wochen gesperrt,0
Arbeitet der spanische Geheimdienst mit Islamisten zusammen?,0
Bafin untersagt ab sofort „Leerverkäufe“ der umstrittenen Hedge-Fonds,0
Angela Merkel fordert Schließung des Internierungslagers „Camp X-Ray“ in Guantanamo,0
Bayern hat Bedenken bei der Einführung des digitalen Polizeifunks,0
21 Orndungs-Tricks für den Keller und die Garage.,1
"Ordnung schaffen, Ordnung halten: 18 Tricks und clevere Ideen",1
17-jähriger Schüler will eigene Windkraftanlage,0
160 Verletzte bei Protesten in Taiwan,0
10 Fehler im Umgang mit dem Wäschetrockner,1
"20 Erfindungen, die sich weltweit durchsetzen sollten",1
Optische Täuschungen: 19 lustige Bilder von Illusionen,1
Adidas-Chef wurde „Öko-Manager des Jahres“,0
Barnier wird Sonderberater für Verteidigung der EU-Kommission,0
Carstensen verspricht Wirtschaftshilfe für Helgoland,0
Bremen ist Schlusslicht beim Eintreiben von Unterhaltsvorschuss,0
Afrikanische Union schließt Mauretanien wegen Militärputsch aus,0
Atomstreit mit Iran: Annäherung in Sicht,0
CDU und SPD einigen sich auf Konzept zur Unternehmenssteuer-Reform,0
19 israelische Unternehmen stellen Firmenflotte auf Elektroautos um,0
Abrissarbeiten für neuen Stuttgarter Bahnhof beginnen unter Protest,0
Ein tierischer Blickfang für den nächsten Kindergeburtstag mit Buttercreme und Fondant.,1
Abwassergesellschaft Lüneburg setzt Kleintransporter mit Elektroantrieb ein,0
Altbundespräsident Johannes Rau ist tot,0
Mobber-Mama Tammy Steffen täuschte die Entführung ihrer Tochter vor,1
4.000 Elektroautos für Frankreichs Hauptstadt,0
Katzen im Karton: 14 lustige Bilder,1
